,date,PRCP
0,1955-04-01,0.0
1,1955-05-01,0.0
2,1955-06-01,103.0
3,1955-07-01,18.0
4,1955-08-01,24.0
5,1955-09-01,84.0
6,1955-10-01,208.0
7,1955-11-01,0.0
8,1955-12-01,0.0
9,1956-01-01,0.0
10,1956-02-01,0.0
11,1956-03-01,0.0
12,1956-04-01,0.0
13,1956-05-01,222.0
14,1956-06-01,0.0
15,1956-07-01,132.0
16,1956-08-01,153.0
17,1956-09-01,158.0
18,1956-10-01,6.0
19,1956-12-01,0.0
20,1957-01-01,0.0
21,1957-02-01,0.0
22,1957-03-01,0.0
23,1957-04-01,0.0
24,1957-05-01,0.0
25,1957-06-01,17.0
26,1957-07-01,92.0
27,1957-08-01,0.0
28,1957-10-01,0.0
29,1957-11-01,0.0
30,1957-12-01,0.0
31,1958-01-01,58.0
32,1958-02-01,0.0
33,1958-03-01,0.0
34,1958-04-01,0.0
35,1958-05-01,0.0
36,1958-06-01,52.0
37,1958-07-01,95.0
38,1958-08-01,0.0
39,1958-09-01,285.0
40,1958-10-01,96.0
41,1958-11-01,92.0
42,1958-12-01,0.0
43,1959-01-01,143.0
44,1959-02-01,0.0
45,1959-03-01,0.0
46,1959-04-01,0.0
47,1959-05-01,0.0
48,1959-06-01,0.0
49,1959-07-01,35.0
50,1959-08-01,102.0
51,1959-09-01,0.0
52,1959-10-01,23.0
53,1959-11-01,0.0
54,1959-12-01,0.0
55,1960-01-01,0.0
56,1960-02-01,0.0
57,1960-03-01,0.0
58,1960-04-01,0.0
59,1960-05-01,0.0
60,1960-06-01,0.0
61,1960-07-01,0.0
62,1960-08-01,243.0
63,1960-09-01,43.0
64,1960-10-01,0.0
65,1960-11-01,0.0
66,1960-12-01,0.0
67,1961-01-01,0.0
68,1961-02-01,0.0
69,1961-03-01,0.0
70,1961-04-01,0.0
71,1961-05-01,0.0
72,1961-06-01,0.0
73,1961-07-01,0.0
74,1961-08-01,19.0
75,1961-09-01,186.0
76,1961-10-01,0.0
77,1961-11-01,0.0
78,1961-12-01,0.0
79,1962-01-01,0.0
80,1962-02-01,0.0
81,1962-03-01,0.0
82,1962-04-01,0.0
83,1962-05-01,0.0
84,1962-06-01,0.0
85,1962-08-01,0.0
86,1962-09-01,0.0
87,1962-10-01,0.0
88,1962-11-01,0.0
89,1962-12-01,0.0
90,1963-01-01,0.0
91,1963-02-01,0.0
92,1963-03-01,0.0
93,1963-05-01,0.0
94,1963-08-01,46.0
95,1963-09-01,124.0
96,1963-10-01,186.0
97,1963-11-01,0.0
98,1963-12-01,0.0
99,1964-02-01,0.0
100,1964-03-01,0.0
101,1964-04-01,0.0
102,1964-05-01,0.0
103,1964-06-01,80.0
104,1964-07-01,300.0
105,1964-08-01,110.0
106,1964-09-01,0.0
107,1964-10-01,180.0
108,1964-11-01,0.0
109,1964-12-01,0.0
110,1965-01-01,0.0
111,1965-05-01,17.0
112,1965-06-01,0.0
113,1965-07-01,16.0
114,1965-08-01,282.0
115,1965-09-01,0.0
116,1965-10-01,239.0
117,1965-11-01,0.0
118,1965-12-01,0.0
119,1966-01-01,0.0
120,1966-02-01,0.0
121,1966-03-01,0.0
122,1966-04-01,0.0
123,1966-05-01,0.0
124,1966-06-01,0.0
125,1966-07-01,0.0
126,1966-08-01,161.0
127,1966-09-01,27.0
128,1966-10-01,20.0
129,1966-11-01,0.0
130,1966-12-01,0.0
131,1967-01-01,0.0
132,1967-02-01,0.0
133,1967-03-01,0.0
134,1967-04-01,0.0
135,1967-05-01,0.0
136,1967-06-01,0.0
137,1967-07-01,23.0
138,1967-08-01,0.0
139,1967-09-01,37.0
140,1967-10-01,22.0
141,1967-11-01,0.0
142,1967-12-01,0.0
143,1968-01-01,0.0
144,1968-02-01,0.0
145,1968-03-01,0.0
146,1968-04-01,0.0
147,1968-05-01,22.0
148,1968-06-01,0.0
149,1968-07-01,185.0
150,1968-08-01,0.0
151,1968-09-01,10.0
152,1968-10-01,0.0
153,1968-11-01,0.0
154,1968-12-01,0.0
155,1969-01-01,0.0
156,1969-02-01,0.0
157,1969-03-01,0.0
158,1969-04-01,0.0
159,1969-05-01,0.0
160,1969-06-01,4.0
161,1969-07-01,0.0
162,1969-08-01,0.0
163,1969-09-01,80.0
164,1969-10-01,7.0
165,1969-11-01,0.0
166,1969-12-01,0.0
167,1970-01-01,0.0
168,1970-02-01,0.0
169,1970-03-01,0.0
170,1970-04-01,0.0
171,1970-05-01,0.0
172,1970-06-01,0.0
173,1970-07-01,13.0
174,1970-08-01,105.0
175,1970-09-01,0.0
176,1970-10-01,0.0
177,1970-11-01,0.0
178,1970-12-01,0.0
179,1971-01-01,0.0
180,1971-02-01,0.0
181,1971-06-01,32.0
182,1971-07-01,15.0
183,1971-08-01,90.0
184,1971-09-01,55.0
185,1971-10-01,150.0
186,1971-11-01,0.0
187,1971-12-01,120.0
188,1972-01-01,0.0
189,1972-02-01,0.0
190,1972-03-01,0.0
191,1972-04-01,0.0
192,1972-05-01,0.0
193,1972-06-01,140.0
194,1972-07-01,0.0
195,1972-08-01,10.0
196,1972-09-01,175.0
197,1972-10-01,0.0
198,1972-11-01,0.0
199,1972-12-01,0.0
200,1973-01-01,0.0
201,1973-02-01,0.0
202,1973-03-01,0.0
203,1973-04-01,0.0
204,1973-05-01,0.0
205,1973-06-01,0.0
206,1973-08-01,0.0
207,1973-09-01,15.0
208,1973-10-01,135.0
209,1973-11-01,0.0
210,1973-12-01,0.0
211,1974-01-01,0.0
212,1974-02-01,0.0
213,1974-03-01,0.0
214,1974-04-01,0.0
215,1974-05-01,0.0
216,1974-06-01,65.0
217,1974-07-01,10.0
218,1974-08-01,0.0
219,1974-09-01,25.0
220,1974-10-01,55.0
221,1974-11-01,0.0
222,1974-12-01,0.0
223,1975-01-01,0.0
224,1975-02-01,0.0
225,1975-03-01,0.0
226,1975-04-01,0.0
227,1975-05-01,0.0
228,1975-06-01,10.0
229,1975-07-01,0.0
230,1975-08-01,0.0
231,1975-09-01,45.0
232,1975-10-01,0.0
233,1975-11-01,0.0
234,1975-12-01,0.0
235,1976-01-01,0.0
236,1976-02-01,10.0
237,1976-03-01,0.0
238,1976-04-01,25.0
239,1976-05-01,0.0
240,1976-06-01,0.0
241,1976-07-01,320.0
242,1976-08-01,0.0
243,1976-09-01,0.0
244,1976-10-01,400.0
245,1976-11-01,175.0
246,1976-12-01,0.0
247,1977-01-01,0.0
248,1977-02-01,0.0
249,1977-03-01,0.0
250,1977-04-01,0.0
251,1977-05-01,0.0
252,1977-06-01,0.0
253,1977-07-01,180.0
254,1977-08-01,0.0
255,1977-09-01,25.0
256,1977-10-01,115.0
257,1977-11-01,15.0
258,1977-12-01,0.0
259,1978-01-01,0.0
260,1978-02-01,0.0
261,1978-03-01,0.0
262,1978-04-01,0.0
263,1978-05-01,0.0
264,1978-06-01,150.0
265,1978-07-01,5.0
266,1978-08-01,5.0
267,1978-09-01,0.0
268,1978-10-01,0.0
269,1978-11-01,0.0
270,1978-12-01,0.0
271,1979-01-01,0.0
272,1979-02-01,0.0
273,1979-03-01,0.0
274,1979-04-01,0.0
275,1979-05-01,0.0
276,1979-06-01,0.0
277,1979-07-01,0.0
278,1979-08-01,0.0
279,1979-09-01,150.0
280,1979-10-01,0.0
281,1979-11-01,0.0
282,1979-12-01,0.0
283,1980-01-01,0.0
284,1980-02-01,0.0
285,1980-03-01,0.0
286,1980-04-01,0.0
287,1980-05-01,0.0
288,1980-06-01,0.0
289,1980-07-01,14.0
290,1980-08-01,268.0
291,1980-09-01,232.0
292,1980-10-01,0.0
293,1980-11-01,0.0
294,1980-12-01,0.0
315,1988-04-01,0.0
321,1989-03-01,0.0
322,1989-04-01,0.0
324,1989-06-01,0.0
327,1989-11-01,0.0
328,1989-12-01,0.0
330,1990-02-01,0.0
331,1990-03-01,0.0
333,1990-05-01,0.0
334,1990-06-01,0.0
335,1990-07-01,343.0
336,1990-08-01,25.0
337,1990-09-01,33.0
338,1990-10-01,0.0
339,1990-11-01,0.0
340,1990-12-01,0.0
342,1991-02-01,0.0
343,1991-03-01,0.0
345,1991-05-01,0.0
346,1991-06-01,0.0
347,1991-07-01,434.0
348,1991-08-01,0.0
349,1991-09-01,46.0
350,1991-10-01,10.0
351,1991-11-01,0.0
352,1991-12-01,0.0
354,1992-02-01,15.0
355,1992-03-01,0.0
356,1992-04-01,13.0
357,1992-05-01,0.0
359,1992-07-01,25.0
360,1992-08-01,86.0
361,1992-09-01,0.0
362,1992-10-01,0.0
363,1992-11-01,3.0
364,1992-12-01,0.0
366,1993-02-01,0.0
367,1993-03-01,0.0
368,1993-04-01,0.0
369,1993-05-01,0.0
370,1993-06-01,0.0
371,1993-07-01,185.0
373,1993-09-01,0.0
374,1993-10-01,0.0
375,1993-11-01,0.0
376,1993-12-01,0.0
377,1994-01-01,0.0
378,1994-02-01,0.0
379,1994-03-01,0.0
380,1994-04-01,0.0
381,1994-05-01,0.0
382,1994-06-01,0.0
383,1994-07-01,48.0
385,1994-09-01,76.0
386,1994-10-01,5.0
387,1994-11-01,8.0
388,1994-12-01,5.0
390,1995-02-01,61.0
391,1995-03-01,0.0
392,1995-04-01,0.0
393,1995-05-01,0.0
394,1995-06-01,0.0
395,1995-07-01,201.0
396,1995-08-01,84.0
397,1995-09-01,183.0
398,1995-10-01,0.0
399,1995-11-01,79.0
400,1995-12-01,0.0
401,1996-01-01,3.0
402,1996-02-01,0.0
403,1996-03-01,0.0
404,1996-04-01,0.0
405,1996-05-01,38.0
406,1996-06-01,130.0
407,1996-07-01,13.0
408,1996-08-01,0.0
409,1996-09-01,0.0
410,1996-10-01,5.0
411,1996-11-01,0.0
412,1996-12-01,0.0
413,1997-01-01,0.0
414,1997-02-01,0.0
415,1997-03-01,0.0
416,1997-04-01,0.0
417,1997-05-01,0.0
418,1997-06-01,10.0
419,1997-07-01,99.0
420,1997-08-01,0.0
421,1997-09-01,86.0
422,1997-10-01,36.0
423,1997-11-01,0.0
424,1997-12-01,0.0
425,1998-01-01,0.0
426,1998-02-01,0.0
427,1998-03-01,0.0
428,1998-04-01,0.0
429,1998-05-01,0.0
430,1998-06-01,0.0
431,1998-07-01,127.0
432,1998-08-01,0.0
433,1998-09-01,351.0
434,1998-10-01,130.0
437,1999-01-01,0.0
441,1999-05-01,0.0
442,1999-06-01,0.0
443,1999-07-01,0.0
446,1999-10-01,104.0
448,1999-12-01,0.0
451,2000-03-01,0.0
452,2000-04-01,0.0
453,2000-05-01,0.0
454,2000-06-01,18.0
455,2000-07-01,10.0
456,2000-08-01,0.0
457,2000-09-01,678.0
458,2000-10-01,15.0
459,2000-11-01,0.0
460,2000-12-01,0.0
462,2001-02-01,0.0
463,2001-03-01,0.0
465,2001-05-01,0.0
466,2001-06-01,56.0
467,2001-07-01,140.0
468,2001-08-01,10.0
469,2001-09-01,0.0
470,2001-10-01,0.0
471,2001-11-01,0.0
472,2001-12-01,0.0
474,2002-02-01,0.0
475,2002-03-01,0.0
476,2002-04-01,0.0
477,2002-05-01,0.0
478,2002-06-01,0.0
480,2002-08-01,0.0
481,2002-09-01,56.0
482,2002-10-01,0.0
488,2003-04-01,399.0
489,2003-05-01,0.0
490,2003-06-01,0.0
491,2003-07-01,0.0
493,2003-09-01,0.0
494,2003-10-01,0.0
495,2003-11-01,0.0
497,2004-01-01,0.0
498,2004-02-01,0.0
500,2004-04-01,3.0
502,2004-06-01,81.0
503,2004-07-01,5.0
504,2004-08-01,8.0
505,2004-09-01,18.0
506,2004-10-01,0.0
507,2004-11-01,0.0
508,2004-12-01,0.0
510,2005-02-01,0.0
511,2005-03-01,0.0
512,2005-04-01,0.0
513,2005-05-01,0.0
514,2005-06-01,0.0
515,2005-07-01,5.0
516,2005-08-01,0.0
518,2005-10-01,0.0
519,2005-11-01,0.0
520,2005-12-01,0.0
523,2006-03-01,0.0
524,2006-04-01,0.0
525,2006-05-01,84.0
526,2006-06-01,0.0
527,2006-07-01,3.0
528,2006-08-01,0.0
529,2006-09-01,0.0
530,2006-10-01,56.0
531,2006-11-01,0.0
532,2006-12-01,0.0
534,2007-02-01,0.0
535,2007-03-01,0.0
536,2007-04-01,0.0
537,2007-05-01,0.0
538,2007-06-01,0.0
539,2007-07-01,43.0
540,2007-08-01,203.0
542,2007-10-01,0.0
543,2007-11-01,0.0
544,2007-12-01,0.0
545,2008-01-01,0.0
546,2008-02-01,0.0
547,2008-03-01,0.0
548,2008-04-01,0.0
549,2008-05-01,8.0
550,2008-06-01,0.0
551,2008-07-01,498.0
552,2008-08-01,0.0
553,2008-09-01,81.0
554,2008-10-01,0.0
559,2009-03-01,0.0
561,2009-05-01,0.0
562,2009-06-01,25.0
563,2009-07-01,0.0
564,2009-08-01,0.0
565,2009-09-01,0.0
566,2009-10-01,0.0
567,2009-11-01,0.0
568,2009-12-01,0.0
572,2010-04-01,0.0
574,2010-06-01,0.0
577,2010-09-01,185.0
578,2010-10-01,0.0
579,2010-11-01,0.0
580,2010-12-01,0.0
581,2011-01-01,0.0
582,2011-02-01,0.0
583,2011-03-01,0.0
584,2011-04-01,0.0
585,1955-04-02,0.0
586,1955-05-02,0.0
587,1955-06-02,435.0
588,1955-07-02,0.0
589,1955-08-02,182.0
590,1955-09-02,89.0
591,1955-10-02,214.0
592,1955-11-02,0.0
593,1955-12-02,0.0
594,1956-01-02,0.0
595,1956-02-02,0.0
596,1956-03-02,0.0
597,1956-04-02,0.0
598,1956-05-02,0.0
599,1956-06-02,23.0
600,1956-07-02,0.0
601,1956-08-02,0.0
602,1956-09-02,55.0
603,1956-10-02,0.0
604,1956-12-02,0.0
605,1957-01-02,0.0
606,1957-02-02,0.0
607,1957-03-02,0.0
608,1957-04-02,0.0
609,1957-05-02,0.0
610,1957-06-02,0.0
611,1957-07-02,114.0
612,1957-08-02,42.0
613,1957-10-02,0.0
614,1957-11-02,0.0
615,1957-12-02,0.0
616,1958-01-02,0.0
617,1958-02-02,0.0
618,1958-03-02,0.0
619,1958-04-02,0.0
620,1958-05-02,0.0
621,1958-06-02,7.0
